Title,Artists,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,hot_song,cluster
Brother’s Keeper,DaBaby ,6Et7bBOxtMxcCa7MyjKpr3,0.751,0.678,1,-5.956,0,0.357,0.189,0.0,0.51,0.782,154.896,audio_features,spotify:track:6Et7bBOxtMxcCa7MyjKpr3,https://api.spotify.com/v1/tracks/6Et7bBOxtMxcCa7MyjKpr3,https://api.spotify.com/v1/audio-analysis/6Et7bBOxtMxcCa7MyjKpr3,126859,4,0,5
Born Singer,BTS ,1IthE5GNiRzFN5CVaCa445,0.602,0.841,8,-3.334,0,0.109,0.0354,0.0,0.235,0.684,157.937,audio_features,spotify:track:1IthE5GNiRzFN5CVaCa445,https://api.spotify.com/v1/tracks/1IthE5GNiRzFN5CVaCa445,https://api.spotify.com/v1/audio-analysis/1IthE5GNiRzFN5CVaCa445,238628,4,0,3
dancing in the kitchen,LANY ,2VhY69P0Q15rHfEKaMlR5x,0.646,0.736,11,-7.658,1,0.0396,0.0334,0.0,0.0807,0.28,94.024,audio_features,spotify:track:2VhY69P0Q15rHfEKaMlR5x,https://api.spotify.com/v1/tracks/2VhY69P0Q15rHfEKaMlR5x,https://api.spotify.com/v1/audio-analysis/2VhY69P0Q15rHfEKaMlR5x,208809,4,0,6
Without You,Avicii ,6Pgkp4qUoTmJIPn7ReaGxL,0.662,0.858,2,-4.844,1,0.0428,0.00163,0.0,0.0456,0.295,133.993,audio_features,spotify:track:6Pgkp4qUoTmJIPn7ReaGxL,https://api.spotify.com/v1/tracks/6Pgkp4qUoTmJIPn7ReaGxL,https://api.spotify.com/v1/audio-analysis/6Pgkp4qUoTmJIPn7ReaGxL,181673,4,0,1
Welcome to the Party,Diplo ,5mqzhMuUpvnMfwNz6iepmO,0.618,0.845,2,0.175,1,0.132,0.114,0.0,0.415,0.486,171.921,audio_features,spotify:track:5mqzhMuUpvnMfwNz6iepmO,https://api.spotify.com/v1/tracks/5mqzhMuUpvnMfwNz6iepmO,https://api.spotify.com/v1/audio-analysis/5mqzhMuUpvnMfwNz6iepmO,181720,4,0,3
HIT,DaBaby ,4TfEcrA3VitAQ9ft91e5pQ,0.629,0.723,9,-5.293,1,0.126,0.000655,0.0,0.14,0.321,76.538,audio_features,spotify:track:4TfEcrA3VitAQ9ft91e5pQ,https://api.spotify.com/v1/tracks/4TfEcrA3VitAQ9ft91e5pQ,https://api.spotify.com/v1/audio-analysis/4TfEcrA3VitAQ9ft91e5pQ,125498,4,0,0
No Role Modelz,J. Cole ,68Dni7IE4VyPkTOH9mRWHr,0.69,0.521,10,-8.492,0,0.339,0.324,0.0,0.0534,0.494,100.028,audio_features,spotify:track:68Dni7IE4VyPkTOH9mRWHr,https://api.spotify.com/v1/tracks/68Dni7IE4VyPkTOH9mRWHr,https://api.spotify.com/v1/audio-analysis/68Dni7IE4VyPkTOH9mRWHr,292799,4,0,6
Twisted,French Montana ,5xEWiG0ug0rOymOjlzSGzx,0.805,0.871,1,-2.987,1,0.214,0.009,0.0,0.195,0.926,169.871,audio_features,spotify:track:5xEWiG0ug0rOymOjlzSGzx,https://api.spotify.com/v1/tracks/5xEWiG0ug0rOymOjlzSGzx,https://api.spotify.com/v1/audio-analysis/5xEWiG0ug0rOymOjlzSGzx,262354,4,0,3
Ass Drop,Wiz Khalifa ,2iDjCLUOGhJtz5cPHljGVd,0.816,0.578,10,-4.536,0,0.0986,0.0136,1.2e-05,0.0412,0.302,177.959,audio_features,spotify:track:2iDjCLUOGhJtz5cPHljGVd,https://api.spotify.com/v1/tracks/2iDjCLUOGhJtz5cPHljGVd,https://api.spotify.com/v1/audio-analysis/2iDjCLUOGhJtz5cPHljGVd,166707,4,0,3
The Christmas Song (Chestnuts Roasting On an Open Fire),Andy Williams ,4m4jcdYw18KGodeRCh1KFY,0.265,0.301,5,-11.589,0,0.0313,0.871,0.0,0.127,0.184,136.426,audio_features,spotify:track:4m4jcdYw18KGodeRCh1KFY,https://api.spotify.com/v1/tracks/4m4jcdYw18KGodeRCh1KFY,https://api.spotify.com/v1/audio-analysis/4m4jcdYw18KGodeRCh1KFY,152693,4,0,1
Ignition  Remix,R. Kelly ,5dNfHmqgr128gMY2tc5CeJ,0.795,0.523,1,-7.165,1,0.0423,0.061,0.0,0.0914,0.855,133.024,audio_features,spotify:track:5dNfHmqgr128gMY2tc5CeJ,https://api.spotify.com/v1/tracks/5dNfHmqgr128gMY2tc5CeJ,https://api.spotify.com/v1/audio-analysis/5dNfHmqgr128gMY2tc5CeJ,186067,4,0,1
Rent Money,Future ,5W9QCBJ6Em0XWX333YrNhc,0.694,0.493,1,-8.581,1,0.373,0.0331,2.04e-06,0.431,0.313,166.457,audio_features,spotify:track:5W9QCBJ6Em0XWX333YrNhc,https://api.spotify.com/v1/tracks/5W9QCBJ6Em0XWX333YrNhc,https://api.spotify.com/v1/audio-analysis/5W9QCBJ6Em0XWX333YrNhc,265366,4,0,3
Heroes  1999 Remastered Version,David Bowie ,7Jh1bpe76CNTCgdgAdBw4Z,0.489,0.758,7,-6.491,1,0.0297,0.000678,0.49,0.092,0.435,112.113,audio_features,spotify:track:7Jh1bpe76CNTCgdgAdBw4Z,https://api.spotify.com/v1/tracks/7Jh1bpe76CNTCgdgAdBw4Z,https://api.spotify.com/v1/audio-analysis/7Jh1bpe76CNTCgdgAdBw4Z,371413,4,0,2
Higher,Clean Bandit ,4OoYfejHABzYe2mG8p5s8b,0.716,0.736,1,-5.18,0,0.0363,0.336,1.4e-05,0.137,0.542,104.018,audio_features,spotify:track:4OoYfejHABzYe2mG8p5s8b,https://api.spotify.com/v1/tracks/4OoYfejHABzYe2mG8p5s8b,https://api.spotify.com/v1/audio-analysis/4OoYfejHABzYe2mG8p5s8b,203953,4,0,2
Go Hard,Juice WRLD ,6LhB5o2iWjJgNHqock5H3b,0.616,0.463,7,-7.666,0,0.18,0.611,4.65e-06,0.163,0.0682,145.289,audio_features,spotify:track:6LhB5o2iWjJgNHqock5H3b,https://api.spotify.com/v1/tracks/6LhB5o2iWjJgNHqock5H3b,https://api.spotify.com/v1/audio-analysis/6LhB5o2iWjJgNHqock5H3b,214728,4,0,5
Stay Gold,BTS ,3Ys2PYl1wyPKQIwyqhP9cQ,0.723,0.634,1,-5.415,1,0.0542,0.0892,0.0,0.0787,0.582,129.017,audio_features,spotify:track:3Ys2PYl1wyPKQIwyqhP9cQ,https://api.spotify.com/v1/tracks/3Ys2PYl1wyPKQIwyqhP9cQ,https://api.spotify.com/v1/audio-analysis/3Ys2PYl1wyPKQIwyqhP9cQ,243267,4,0,4
Crazy,Bazzi ,4L5FErBP8i7KLukuSBsAYd,0.843,0.694,6,-3.307,1,0.0446,0.0333,0.0,0.0786,0.577,108.897,audio_features,spotify:track:4L5FErBP8i7KLukuSBsAYd,https://api.spotify.com/v1/tracks/4L5FErBP8i7KLukuSBsAYd,https://api.spotify.com/v1/audio-analysis/4L5FErBP8i7KLukuSBsAYd,145321,4,0,2
Armed And Dangerous,Juice WRLD ,5wujBwqG7INdStqGd4tRMX,0.736,0.67,10,-6.702,1,0.311,0.186,0.0,0.114,0.845,130.032,audio_features,spotify:track:5wujBwqG7INdStqGd4tRMX,https://api.spotify.com/v1/tracks/5wujBwqG7INdStqGd4tRMX,https://api.spotify.com/v1/audio-analysis/5wujBwqG7INdStqGd4tRMX,169999,4,0,4
21,Polo G ,3JKgcAa7r07ocVWcV8bS0H,0.783,0.479,7,-10.646,1,0.541,0.149,0.0,0.101,0.533,176.027,audio_features,spotify:track:3JKgcAa7r07ocVWcV8bS0H,https://api.spotify.com/v1/tracks/3JKgcAa7r07ocVWcV8bS0H,https://api.spotify.com/v1/audio-analysis/3JKgcAa7r07ocVWcV8bS0H,163798,4,0,3
Bryson,NLE Choppa ,2MBjMrecld1TgdzCSVouEW,0.452,0.748,10,-7.858,0,0.302,0.022,0.0,0.0422,0.586,173.722,audio_features,spotify:track:2MBjMrecld1TgdzCSVouEW,https://api.spotify.com/v1/tracks/2MBjMrecld1TgdzCSVouEW,https://api.spotify.com/v1/audio-analysis/2MBjMrecld1TgdzCSVouEW,221053,4,0,3
American Beauty/American Psycho,Fall Out Boy ,3D4Xkcir5YEhk8Xidkd1dL,0.492,0.932,2,-2.401,1,0.203,0.00711,0.0,0.177,0.635,151.166,audio_features,spotify:track:3D4Xkcir5YEhk8Xidkd1dL,https://api.spotify.com/v1/tracks/3D4Xkcir5YEhk8Xidkd1dL,https://api.spotify.com/v1/audio-analysis/3D4Xkcir5YEhk8Xidkd1dL,195947,4,0,5
Midnight Rain,Taylor Swift ,3rWDp9tBPQR9z6U5YyRSK4,0.643,0.363,0,-11.738,1,0.0767,0.69,5.17e-05,0.115,0.23,139.865,audio_features,spotify:track:3rWDp9tBPQR9z6U5YyRSK4,https://api.spotify.com/v1/tracks/3rWDp9tBPQR9z6U5YyRSK4,https://api.spotify.com/v1/audio-analysis/3rWDp9tBPQR9z6U5YyRSK4,174783,4,0,1
Linus And Lucy,Vince Guaraldi Trio ,33EcmYsTQVIGRGnGPOfTwu,0.381,0.37,1,-15.948,1,0.0391,0.804,0.247,0.14,0.814,81.06,audio_features,spotify:track:33EcmYsTQVIGRGnGPOfTwu,https://api.spotify.com/v1/tracks/33EcmYsTQVIGRGnGPOfTwu,https://api.spotify.com/v1/audio-analysis/33EcmYsTQVIGRGnGPOfTwu,184440,4,0,0
